,City_Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lng
0,"bredasdorp,za",66.35,88.0,8.0,19.71,-34.53,20.04
1,"cape town,za",66.2,63.0,40.0,11.41,-33.93,18.42
3,"new norfolk,au",71.6,40.0,75.0,17.22,-42.78,147.06
4,"rikitea,pf",76.38,100.0,92.0,10.09,-23.12,-134.97
5,"busselton,au",77.6,74.0,12.0,12.44,-33.64,115.35
6,"albany,au",68.28,75.0,48.0,13.94,-35.02,117.88
7,"hobart,au",71.6,40.0,75.0,17.22,-42.88,147.33
8,"punta arenas,cl",41.0,80.0,75.0,13.87,-53.16,-70.91
9,"bluff,nz",63.6,89.0,80.0,1.81,-46.6,168.33
11,"mar del plata,ar",48.39,61.0,0.0,17.13,-46.43,-67.52
12,"chuy,uy",70.53,93.0,68.0,10.58,-33.69,-53.46
13,"ushuaia,ar",41.0,80.0,75.0,10.92,-54.81,-68.31
14,"cidreira,br",72.51,90.0,32.0,6.62,-30.17,-50.22
15,"port alfred,za",69.09,100.0,92.0,14.83,-33.59,26.89
16,"kaitangata,nz",64.46,93.0,80.0,7.85,-46.28,169.85
17,"vaini,to",77.0,73.0,90.0,9.64,-21.2,-175.2
18,"port elizabeth,za",69.8,83.0,75.0,10.29,-33.92,25.57
19,"tuatapere,nz",65.94,71.0,64.0,12.44,-46.13,167.69
20,"klaipeda,lt",41.0,86.0,90.0,6.93,55.72,21.12
21,"den helder,nl",46.4,93.0,90.0,19.46,52.96,4.76
22,"haines junction,ca",-21.81,29.0,0.0,1.86,60.75,-137.51
24,"sitka,us",18.24,72.0,0.0,2.86,37.17,-99.65
25,"chunskiy,ru",12.57,65.0,68.0,7.63,56.08,99.63
26,"mackenzie,ca",8.6,84.0,90.0,2.24,55.34,-123.09
27,"ketchikan,us",28.74,92.0,1.0,8.12,55.34,-131.65
28,"dubinino,ru",15.18,85.0,92.0,7.74,55.62,89.08
29,"bratsk,ru",5.0,77.0,40.0,4.47,56.15,101.63
30,"taksimo,ru",-2.78,54.0,36.0,2.04,56.36,114.84
31,"okha,ru",-4.13,79.0,0.0,10.8,53.59,142.95
32,"chapais,ca",-11.21,76.0,90.0,4.7,49.78,-74.86
33,"athabasca,ca",16.62,72.0,76.0,11.92,54.72,-113.29
